sep=;
PredictedAppTag;TP;FP;FN;Precission;Recall;FMeasure;
udpssdp;9612;393;164;0,96071964017991;0,983224222585925;0,971841666245387;
udpstun;35;0;109;1;0,243055555555556;0,391061452513966;
tcpteamviewer;65;1;134;0,984848484848485;0,326633165829146;0,490566037735849;
tcpicslap;1125;3;61;0,997340425531915;0,948566610455312;0,972342264477096;
11000udp;0;0;25;0;0;0;
40027udp;0;0;11;0;0;0;
40028udp;0;0;5;0;0;0;
1024udp;0;0;2;0;0;0;
udponlinegames;3806;88;33;0,977401129943503;0,991404011461318;0,984352773826458;
4070tcp;1;0;94;1;0,0105263157894737;0,0208333333333333;
8999udp;0;0;44;0;0;0;
3702udp;4;0;88;1;0,0434782608695652;0,0833333333333333;
45776tcp;0;0;9;0;0;0;
40029tcp;0;0;5;0;0;0;
40030udp;0;7;3;0;0;0;
40020udp;0;0;22;0;0;0;
udpnetbios;11;2;212;0,846153846153846;0,0493273542600897;0,0932203389830508;
udpdhcps;263;2;50;0,992452830188679;0,840255591054313;0,910034602076125;
tcppop3tlsssl;0;0;185;0;0;0;
udpdhcpc;13;2;30;0,866666666666667;0,302325581395349;0,448275862068965;
5353udp;0;0;167;0;0;0;
udpdhcpv6c;0;0;13;0;0;0;
40025udp;0;11;1;0;0;0;
udpteamviewer;0;0;82;0;0;0;
tcpssh;0;0;65;0;0;0;
udphttps;1397;138;10;0,910097719869707;0,992892679459844;0,949694085656016;
40036udp;0;0;4;0;0;0;
tcpdns;0;0;17;0;0;0;
40005udp;0;0;1;0;0;0;
udprtp;0;0;83;0;0;0;
tcpsmtptlsssl;0;0;64;0;0;0;
udpnetbiosdgm;429;16;4;0,964044943820225;0,990762124711316;0,977220956719818;
11888udp;0;0;6;0;0;0;
49001udp;0;0;37;0;0;0;
9875udp;0;0;5;0;0;0;
40023udp;0;1;1;0;0;0;
40024udp;1;5;5;0,166666666666667;0,166666666666667;0,166666666666667;
40018udp;0;2;6;0;0;0;
40003udp;0;0;21;0;0;0;
12350tcp;6;0;19;1;0,24;0,387096774193548;
udpdns;34531;173;760;0,995014983863532;0,978464764387521;0,986670476462605;
40029udp;0;0;17;0;0;0;
47993udp;0;0;65;0;0;0;
udpspotify;163;0;2;1;0,987878787878788;0,99390243902439;
tcpjabberssl;72;0;62;1;0,537313432835821;0,699029126213592;
tcphttps;95148;351;52;0,996324568843653;0,999453781512605;0,997886722006932;
tcphttp;24483;526;2;0,978967571674197;0,999918317337145;0,989332040247303;
6992udp;0;0;1;0;0;0;
50321udp;0;0;89;0;0;0;
139tcp;0;0;104;0;0;0;
udpnatpmp;0;0;168;0;0;0;
udpp2pbittorrent;1539;900;29;0,6309963099631;0,981505102040816;0,768155727476915;
43265udp;0;0;109;0;0;0;
51654udp;1230;232;11;0,841313269493844;0,991136180499597;0,910099889012209;
tcpjabber;0;0;30;0;0;0;
8621udp;0;0;18;0;0;0;
udpllmnr;35690;578;6;0,984063085915959;0,999831913939937;0,991884831304541;
3800udp;0;0;9;0;0;0;
